Block ID,Type,Code,Name,Catalog Year
RA001259,MAJOR,220A,Major in Criminal Justice,2011 - 2011
RA001260,MAJOR,271A,Major in Political Science (BA),2011 - 2012
RA001261,CONC,272K,Conc in Public Administration,2011 - 2013
RA001262,MAJOR,116A,Major in History (Social Studies Education),2011 - 2011
RA001263,CONC,284D,Conc in Applied Research Methods,2011 - 2012
RA001264,CONC,284F,Conc in Family Development,2010 - 2010
RA001265,CONC,284G,Conc in Gerontology,2011 - 2011
RA001266,CONC,284I,Conc in Individually Designed (Sociology),2011 - 2014
RA001267,CONC,284K,Conc in Social Inequalities,2011 - 2011
RA001268,MINOR,253,Minor in Gerontology,2011 - 2012
RA001269,MINOR,117,Minor in Japanese,2010 - 2021
RA001270,CONC,562E,Conc in Clinical Exercise Physiology,2010 - 9999
RA001273,CONC,113D,Conc in Nanoscience for Advanced Materials,2010 - 2015
RA001274,CONC,113C,Conc in Instrumentation & Automation,2010 - 2015
RA001275,MAJOR,502A,Major in Art Education (K-12),2010 - 2010
RA001276,MAJOR,511A,Major in Graphic Design,2010 - 2010
RA001277,MAJOR,509A,Major in Health Promotion,2010 - 2010
RA001278,MAJOR,574*,Major in Recreation Management,2010 - 2010
RA001279,MAJOR,809A,Major in Nursing (BSN),2010 - 2010
RA001280,CONC,840B,Conc in Foods & Nutrition (Dietetics),2009 - 2009
RA001281,MAJOR,513A,Major in Studio Art,2010 - 2010
RA001282,MAJOR,578A,Major in Appropriate Technology,2010 - 2011
RA001283,MAJOR,840*,Major in Nutrition and Foods,2009 - 2009
RA001284,CONC,577B,Conc in Architectural Tech & Design,2010 - 2010
RA001285,CONC,577C,Conc in Construction Management,2010 - 2010
RA001286,CONC,840C,Conc in Foodsystems Management,2009 - 2010
RA001287,DEGREE,550A,Interior Design (GC),2011 - 2014
RA001288,DEGREE,BS_550A,Interior Design (BS),2010 - 2010
RA001289,MAJOR,550A,Major in Interior Design,2010 - 2010
RA001290,MAJOR,845A,Major in Health Care Management,2009 - 2010
RA001291,MAJOR,581A,Major in Dance Studies,2010 - 2012
RA001292,MAJOR,567*,Major in Exercise Science,2010 - 2010
RA001293,CONC,567D,Conc in Strength & Conditioning,2010 - 2010
RA001294,MINOR,580,Minor in Building Science,2010 - 2012
RA001295,MINOR,515,Minor in Dance,2010 - 2013
RA001296,MINOR,579,Minor in Digital Photography,2010 - 2012
RA001297,CONC,567E,Conc in Clinical Exercise Physiology,2010 - 2010
RA001298,MAJOR,502A,Major in Art Education (K-12),2011 - 2012
RA001299,MINOR,490,Minor in Communication Disorders,2010 - 2012
RA001300,CONC,504B,Conc in Art History,2011 - 2011
RA001301,MAJOR,507A,Major in Communication (Advertising),2011 - 2012
RA001302,MINOR,532,Minor in Communication,2011 - 2015
RA001303,CONC,577B,Conc in Architectural Tech & Design,2011 - 2012
RA001304,MINOR,281,Minor in Social Work,2011 - 2019
RA001305,CONC,577C,Conc in Construction Management,2011 - 2012
RA001306,MAJOR,494A,Major in Communication Disorders,2011 - 2011
RA001307,MAJOR,565A,Major in Athletic Training,2010 - 2011
RA001308,MAJOR,572A,Major in Graphic Arts & Imaging Tech,2011 - 2011
RA001309,MAJOR,509A,Major in Health Promotion,2011 - 2011
RA001310,MAJOR,574*,Major in Recreation Management,2011 - 2014
RA001311,MAJOR,563A,Major in Nursing (RN to BSN),2011 - 2014
RA001312,MAJOR,809A,Major in Nursing (BSN),2011 - 2011
RA001313,MAJOR,845A,Major in Health Care Management,2011 - 2011
RA001314,DEGREE,BS,Degree in Bachelor of Science,2011 - 2011
RA001315,MAJOR,840*,Major in Nutrition and Foods,2010 - 2010
RA001316,CONC,840B,Conc in Foods & Nutrition (Dietetics),2010 - 2010
RA001317,MAJOR,576*,Major in Industrial Design,2011 - 2013
RA001318,CONC,840C,Conc in Foodsystems Management,2011 - 2011
RA001319,MAJOR,567*,Major in Exercise Science,2011 - 2011
RA001320,MAJOR,557A,Major in Music Industry Studies,2010 - 2010
RA001321,MAJOR,557A,Major in Music Industry Studies,2011 - 2013
RA001323,CONC,552E,Conc in General Music Education,2010 - 2014
RA001324,CONC,567B,Conc in Pre-Professional,2010 - 2010
RA001325,CONC,552C,Conc in Instrumental,2010 - 2018
RA001326,CONC,567E,Conc in Clinical Exercise Physiology,2011 - 2015
RA001327,CONC,576B,Conc in Furniture Design,2011 - 2013
RA001328,MAJOR,600A,Major in Appalachian Studies,2011 - 2012
RA001329,CONC,250B,Conc in American Studies,2010 - 2011
RA001330,CONC,250D,Conc in Environmental Policy & Planning,2010 - 2013
RA001331,CONC,250L,Conc in Liberal Studies (Modern),2011 - 2012
RA001332,CONC,604B,Conc in Agroecology & Sustainable Ag,2010 - 2011
RA001333,MAJOR,604*,Major in Sustainable Development (BS),2010 - 2011
RA001334,MAJOR,602A,Major in Women's Studies,2010 - 2011
RA001335,CONC,554B,Conc in Sacred Music,2010 - 2018
RA001336,MAJOR,552*,Major in General Music Education (K-12),2010 - 2014
RA001337,CONC,554C,Conc in Composition & Theory,2010 - 2014
RA001338,CONC,552D,Conc in Choral Music Ed (K-12),2010 - 2018
RA001339,MAJOR,554*,Major in Music Performance,2010 - 2014
RA001340,MAJOR,523A,Major in Art Management,2011 - 2011
RA001341,DEGREE,BSB_328A,Health Care Management (BSBA),2009 - 2010
RA001342,MAJOR,513A,Major in Studio Art,2011 - 2011
RA001343,MAJOR,511A,Major in Graphic Design,2011 - 2011
RA001344,DEGREE,328A,Health Care Management,2009 - 2010
RA001345,CONC,576C,Conc in Product Design,2011 - 2013
RA001346,MAJOR,550A,Major in Interior Design,2011 - 2011
RA001347,MAJOR,579A,Major in Technical Photography,2011 - 2011
RA001348,CONC,591C,Conc in Theatre Arts (Performance),2011 - 2013
RA001349,CONC,591D,Conc in Theatre Design/Technology,2011 - 2013
RA001350,CONC,576C,Conc in Product Design,2010 - 2010
RA001351,MAJOR,407*,Major in Business Education,2010 - 2011
RA001352,CONC,407B,Conc in Business Education,2010 - 2012
RA001353,CONC,407C,Conc in Business & Mktg Education,2010 - 2012
RA001354,MAJOR,403A,Major in Health Education,2010 - 2014
RA001355,MAJOR,478*,Major in Special Education,2010 - 2012
RA001356,CONC,478C,Conc in Special Education (Adapted),2010 - 2012
RA001357,CONC,478B,Conc in Special Education (General),2010 - 2012
RA001358,MAJOR,441A,Major in Elementary Education,2010 - 2011
RA001359,MAJOR,500A,Major in Apparel & Textiles,2010 - 2010
RA001360,MAJOR,524A,Major in Child Development (B-K),2010 - 2012
RA001361,CONC,510D,Conc in Psychology,2010 - 2012
RA001362,CONC,510F,Conc in Family & Consumer Sciences,2010 - 2010
RA001363,MAJOR,526*,Major in Family & Consumer Sci Sec Ed,2010 - 2013
RA001365,CONC,510F,Conc in Family & Consumer Sciences,2011 - 2011
RA001366,MAJOR,840*,Major in Nutrition and Foods,2011 - 2011
RA001367,CONC,567D,Conc in Strength & Conditioning,2011 - 2012
RA001368,MAJOR,281A,Major in Social Work,2011 - 2011
RA001369,OTHER,FORLANG,Foreign Language Requirements,2011 - 2014
RA001371,MAJOR,141A,Cert in Forensic Science,2010 - 9999
RA001372,MINOR,271,Minor in Political Science,2011 - 2012
RA001373,CONC,214I,Conc in Fermentation Sciences,2011 - 2014
RA001374,OTHER,AESTHETIC,General Education - Themes Selected,2009 - 9999
RA001375,OTHER,HANDS,General Education - Themes Selected,2009 - 9999
RA001376,OTHER,LTOG,General Education - Themes Selected,2009 - 9999
RA001377,OTHER,NOSEL,General Education - Non-Selected Perspectives,2009 - 2014
RA001380,MAJOR,302*,Major in Accounting,2009 - 2014
RA001381,OTHER,REGIONAL,Regional Coursework - App Studies,2009 - 2012
RA001382,DEGREE,MS_562D,Master of Science,2009 - 9999
RA001383,OTHER,CERTREQ,General Graduate Certificate Requirements,2009 - 2017
RA001384,CONC,207B,Conc in Cell & Molecular Biology,2010 - 2012
RA001386,MAJOR,305*,Major in Business Administration,2010 - 2012
RA001387,CONC,305B,Conc in General Management,2010 - 2012
RA001388,CONC,305C,Conc in International Business,2010 - 2012
RA001389,CONC,305D,Conc in Sustainable Business,2010 - 2012
RA001390,DEGREE,BS_604B,Agroecology and Sustainable Agriculture,2009 - 2014
RA001391,DEGREE,MBA_305*,Master of Business Administration,2010 - 9999
RA001392,DEGREE,MBA_305D,Master of Business Administration,2010 - 2017
RA001393,DEGREE,MBA_305B,Master of Business Administration,2010 - 2013
RA001394,DEGREE,MBA_305C,Master of Business Administration,2010 - 2017
RA001395,CONC,305E,Conc in Economics,2011 - 2012
RA001396,DEGREE,MBA_305E,Master of Business Administration,2011 - 2017
RA001397,MAJOR,548*,Major in Child Development (B-K),2011 - 2013
RA001398,CONC,548B,Conc in Teaching,2011 - 2013
RA001399,CONC,548E,Conc in Allied Professions,2011 - 2013
RA001400,MAJOR,125A,Major in School Psychology,2010 - 2014
RA001402,CONC,256D,Conc in Lifespan Transitions,2011 - 2012
RA001403,MAJOR,256*,Major in Gerontology,2011 - 2012
RA001404,CONC,263S,Conc in Secondary Sch Teaching (Math),2011 - 2014
RA001405,DEGREE,GCERT_127A,Graduate Certificate,2010 - 2017
RA001406,MAJOR,GCERT_127A,Sociology Certificate,2010 - 9999
RA001407,MAJOR,558*,Major in Performance,2011 - 2013
RA001408,MAJOR,559*,Major in Music Education,2011 - 2012
RA001409,DEGREE,MS_841A,Master of Science,2010 - 9999
RA001410,MAJOR,841A,Major in Nutrition,2010 - 2011
RA001411,CONC,504C,Conc in Studio Art,2011 - 2011
RA001412,CONC,504D,Conc in Interdisciplinary Art,2011 - 2011
RA001413,MAJOR,437*,Major in Educational Media,2011 - 2014
RA001414,CONC,437D,Conc in Inst Tech Spec/Computers,2011 - 2012
RA001415,CONC,437E,Conc in Inst Tech Spec/Computers (Gen),2011 - 2015
RA001416,MAJOR,465*,Major in Library Science,2011 - 2013
RA001417,CONC,465B,Conc in School Libraries,2011 - 2012
RA001418,CONC,465C,Conc in Public Libraries,2011 - 2012
RA001419,MAJOR,427*,Major in Professional School Counseling,2010 - 2012
RA001420,CONC,427B,Conc in Elementary/Middle School Licensure,2010 - 2012
RA001421,CONC,427C,Conc in Secondary School Licensure,2010 - 2012
RA001422,DEGREE,MA_222*,Master of Arts,2010 - 9999
RA001423,DEGREE,MA_222B,Master of Arts,2010 - 2017
RA001424,DEGREE,MA_222D,Master of Arts,2010 - 2017
RA001425,DEGREE,MA_222E,Master of Arts,2010 - 2017
RA001426,DEGREE,MA_222C,Master of Arts,2010 - 2017
RA001427,CONC,222B,Conc in French K-12 Teaching,2010 - 2016
RA001428,CONC,222C,Conc in French College Teaching,2010 - 2016
RA001429,CONC,222D,Conc in Spanish K-12 Teaching,2010 - 2016
RA001430,CONC,222E,Conc in Spanish College Teaching,2010 - 2016
RA001433,CONC,599C,Conc in Building Energy Engineering,2011 - 2012
RA001441,CONC,267F,Conc in Environmental Politics & Policy Analysis,2010 - 2011
RA001442,MAJOR,222*,Major in Romance Languages,2010 - 2016
RA001446,DEGREE,MS_821A,Master of Science,2010 - 2017
RA001447,DEGREE,MA_223*,Master of Arts,2009 - 2010
RA001448,DEGREE,MA_529*,Master of Arts,2009 - 2010
RA001449,DEGREE,MA_529B,Master of Arts,2009 - 2010
RA001450,DEGREE,MA_529C,Master of Arts,2009 - 2010
RA001451,DEGREE,MA_529D,Master of Arts,2009 - 2010
RA001452,DEGREE,BS_565A_2,Athletic Training (BS),2009 - 2011
RA001453,MINOR,607,Minor in Girls' Studies,2010 - 2014
RA001454,MINOR,609,Minor in Non-Profit Management,2010 - 2015
RA001455,OTHER,COBHON,College of Business Honors,2009 - 9999
RA001456,OTHER,CBINFO,Senior Check Course Eligibility & Residency Info,2009 - 2014
RA001457,DEGREE,UCERT_141A,Certificate in Forensic Science,2011 - 9999
RA001458,MINOR,129,Minor in Russian,2011 - 2021
RA001460,DEGREE,MS_113D,Master of Science,2010 - 2017
RA001462,OTHER,MCBL,International Business Language Conc Requirements,2009 - 9999
RA001464,OTHER,IBSNH,Spanish Requirements for IB/SNH Double Degree,2009 - 9999
RA001465,OTHER,IBFRE,French Requirements for IB/FRE Double Degree,2009 - 9999
RA001466,OTHER,COBHONNEW,College of Business Honors,2009 - 9999
RA001467,DEGREE,MA_548E,Master of Arts,2011 - 2013
RA001469,OTHER,MCBI,COB International Experience Requirement,2009 - 9999
RA001470,MAJOR,244A,Major in Geology,2009 - 2016
RA001471,MAJOR,244A,Major in Geology,2009 - 2016
RA001472,DEGREE,BS_579A,Technical Photography (BS),2011 - 2011
RA001473,MINOR,542,Minor in Construction Technology,2010 - 9999
RA001474,DEGREE,MA_267F,Master of Arts,2010 - 2017
RA001475,MAJOR,127A,Cert in Sociology,2010 - 2020
RA001477,MAJOR,124A,Major in Biology (Cell/Molecular),2012 - 2012
RA001478,MAJOR,205A,Major in Biology (Eco Evo & Env),2012 - 2012
RA001479,MAJOR,208A,Major in Biology,2012 - 2012
RA001480,MAJOR,209A,Major in Biology (Sec Ed Licensure),2012 - 2012
RA001481,CONC,214D,Conc in Marketing & Business,2012 - 2013
RA001482,MAJOR,214*,Major in Chemistry,2012 - 2012
RA001483,MAJOR,121A,Major in Environmental Science,2012 - 2012
RA001484,MAJOR,233A,Major in English,2012 - 2012
RA001485,CONC,259C,Conc in Environmental Geology,2012 - 2012
RA001486,MAJOR,259*,Major in Geology,2012 - 2013
RA001487,CONC,259D,Conc in Paleontology,2012 - 2013
RA001488,CONC,259E,Conc in Quantitative Geoscience,2012 - 2012
RA001489,MAJOR,220A,Major in Criminal Justice,2012 - 2014
RA001490,CONC,272C,Conc in American Politics,2012 - 2012
RA001491,CONC,272D,Conc in Int'l & Comparative Politics,2011 - 2011
RA001492,MAJOR,272*,Major in Political Science (BS),2012 - 2012
RA001493,DEGREE,BS,Degree in Bachelor of Science,2012 - 2012
RA001494,DEGREE,272D,Political Science Int'l & Comparative Pol (GC),2012 - 2014
RA001495,DEGREE,BS_272D,Political Science Int'l & Comparative Pol (BS),2012 - 2014
RA001496,MAJOR,116A,Major in History (Social Studies Education),2012 - 2012
RA001497,MAJOR,246*,Major in History (BS),2012 - 2012
RA001498,MAJOR,254A,Major in History (BA),2012 - 2012
RA001499,MAJOR,101A,Major in Philosophy,2012 - 2014
RA001500,CONC,284G,Conc in Gerontology,2012 - 2014
RA001501,CONC,284K,Conc in Social Inequalities,2012 - 2014
RA001502,OTHER,ADCB,COB ADMISSION REQUIREMENT,2012 - 2013
RA001503,CONC,284L,Conc in Criminology Deviance and Law,2011 - 2011
RA001504,CONC,284L,Conc in Criminology Deviance and Law,2012 - 2014
RA001505,MINOR,360,Minor in Supply Chain Management,2012 - 2012
RA001506,MAJOR,290A,Major in Sociology (BA),2012 - 2014
RA001507,MINOR,131,Minor in Medieval Studies,2012 - 2014
RA001508,CONC,252C,Conc in Natural Science,2012 - 2012
RA001509,MINOR,126,Minor in Judaic Holocaust & Peace Studies,2012 - 2012
RA001510,MINOR,288,Minor in TESL/Applied Linguistics,2012 - 2013
RA001511,MAJOR,504*,Major in Art,2012 - 2013
RA001512,CONC,504B,Conc in Art History,2012 - 2012
RA001513,MAJOR,523A,Major in Art Management,2012 - 2012
RA001514,MAJOR,441A,Major in Elementary Education,2012 - 2012
RA001515,MAJOR,510*,Major in Child Development,2012 - 2013
RA001516,CONC,510F,Conc in Family & Consumer Sciences,2012 - 2013
RA001517,MAJOR,809A,Major in Nursing (BSN),2012 - 2014
RA001518,MAJOR,845A,Major in Health Care Management,2012 - 2013
RA001519,DEGREE,845A,Health Care Management (GC),2011 - 2011
RA001520,DEGREE,BS_845A,Health Care Management (BS),2011 - 2011
RA001521,MAJOR,281A,Major in Social Work,2012 - 2013
RA001522,MAJOR,509A,Major in Health Promotion,2012 - 2013
RA001523,CONC,840B,Conc in Foods & Nutrition (Dietetics),2012 - 2013
RA001524,MAJOR,564A,Major in PE Teacher Education (K-12),2012 - 2014
RA001525,MAJOR,567*,Major in Exercise Science,2012 - 2012
RA001526,CONC,567B,Conc in Pre-Professional,2012 - 2012
RA001528,MAJOR,565A,Major in Athletic Training,2012 - 2013
RA001529,DEGREE,565A,Athletic Training (GC),2012 - 2013
RA001530,DEGREE,BS_565A,Athletic Training (BS),2012 - 2013
RA001531,MAJOR,603A,Major in Sustainable Development (BA),2012 - 2012
RA001532,MAJOR,604*,Major in Sustainable Development (BS),2012 - 2012
RA001533,CONC,604B,Conc in Agroecology & Sustainable Ag,2012 - 2012
RA001534,CONC,604C,Conc in Comm Regional & Global Dev,2012 - 2012
RA001535,CONC,604D,Conc in Environmental Studies,2012 - 2012
RA001537,MAJOR,472*,Major in Middle Grades Education,2012 - 2022
RA001538,CONC,472B,Conc in Language Arts,2012 - 2022
RA001539,CONC,472D,Conc in Science,2012 - 2022
RA001540,CONC,472C,Conc in Mathematics,2012 - 2022
RA001541,CONC,472E,Conc in Social Studies,2012 - 2022
RA001542,CONC,267F,Conc in Environmental Politics & Policy Analysis,2012 - 2015
RA001544,MAJOR,422A,Major in Elementary Education,2012 - 2022
RA001545,MAJOR,821A,Major in Speech-Language Pathology,2012 - 2019
RA001546,DEGREE,MS_821A_2,Master of Science,2010 - 2017
RA001547,CONC,207D,Conc in Ecology & Evolutionary Bio,2012 - 2018
RA001548,DEGREE,MS_207D,Master of Science,2012 - 2017
RA001549,MAJOR,711A,Cert in Elementary Mathematics Educ,2012 - 2020
RA001550,DEGREE,MA_255*,Master of Arts,2012 - 9999
RA001551,DEGREE,MA_255B,Master of Arts,2012 - 2017
RA001552,DEGREE,MA_255C,Master of Arts,2012 - 2017
RA001553,DEGREE,MA_255D,Master of Arts,2012 - 2017
RA001555,CONC,255B,Conc in General History,2012 - 2018
RA001557,CONC,255D,Conc in Public History,2013 - 2014
RA001558,CONC,558W,Conc in Collaborative Piano,2012 - 2013
RA001559,DEGREE,MM_558W,Master of Music,2012 - 2017
RA001560,CONC,599G,Conc in Sustainable Design & Constr,2012 - 2017
RA001561,DEGREE,MS_599G,Master of Science,2012 - 2018
RA001562,CONC,599B,Conc in Appropriate Technology,2012 - 2017
RA001563,CONC,599D,Conc in Building Science,2012 - 2017
RA001564,CONC,599E,Conc in Graphic Arts & Imaging Technology,2012 - 2015
RA001565,CONC,599F,Conc in Energy Engineering,2012 - 2018
RA001566,MAJOR,599*,Major in Technology,2012 - 2018
RA001567,CONC,504C,Conc in Studio Art,2012 - 2012
RA001568,CONC,504D,Conc in Interdisciplinary Art,2012 - 2012
RA001569,MAJOR,511A,Major in Graphic Design,2012 - 2012
RA001570,MAJOR,513A,Major in Studio Art,2012 - 2012
RA001571,MINOR,504,Minor in Art,2012 - 2012
RA001572,MINOR,505,Minor in Art History,2012 - 2016
RA001573,MAJOR,578A,Major in Appropriate Technology,2012 - 2013
RA001574,MAJOR,572A,Major in Graphic Arts & Imaging Tech,2012 - 2012
RA001575,MINOR,820,Minor in Communication Sciences & Disorders,2012 - 2013
RA001576,MAJOR,710A,Major in Apparel Design & Merchandising,2011 - 2012
RA001577,DEGREE,BS_710A,Apparel Design & Merchandising (BS),2011 - 2014
RA001578,MAJOR,579A,Major in Technical Photography,2012 - 2012
RA001579,MINOR,582,Minor in Technical Photography,2012 - 2012
RA001580,MINOR,467,Minor in Media Studies,2012 - 2013
RA001581,MINOR,510,Minor in Child Development,2012 - 2013
RA001582,MINOR,526,Minor in Family & Consumer Science (Gen),2012 - 2014
RA001583,MINOR,487,Minor in Special Education,2012 - 2012
RA001584,MINOR,429,Minor in Leadership Studies,2012 - 2014
RA001585,CONC,545B,Conc in Tech Ed/Secondary Education,2012 - 2014
RA001586,CONC,545C,Conc in Tech Ed/Trade & Industry,2012 - 2014
RA001588,MAJOR,820A,Major in Communication Sciences & Disorders (GC),2012 - 2013
RA001589,DEGREE,820A,Communication Sciences & Disorders (GC),2012 - 2014
RA001590,DEGREE,BS_820A,Communication Sciences & Disorders (BS),2012 - 2014
RA001591,DEGREE,284M,Sociology Families & Intimate Relationships (GC),2012 - 2014
RA001592,DEGREE,MS_562E,Master of Science,2010 - 9999
RA001593,DEGREE,BS_284M,Sociology Families & Intimate Relationships (BS),2012 - 2014
RA001594,CONC,284M,Conc in Families & Intimate Relationships,2012 - 2014
RA001595,MINOR,840,Minor in Nutrition and Foods,2009 - 2013
RA001596,DEGREE,BS_284L,Sociology Criminology Deviance & Law (BS),2011 - 2014
RA001597,DEGREE,284L,Sociology Criminology Deviance & Law (GC),2011 - 2014
RA001598,DEGREE,UCERT_320A,Certificate in Financial Planning,2009 - 2013
RA001599,DEGREE,UCERT_140A,Certificate in Geographic Information Systems,2009 - 9999
RA001600,CONC,HIS,Conc in History (SAC),2012 - 2014
RA001601,CONC,SSA,Conc in Social Studies (A) (SAC),2012 - 2014
RA001602,CONC,SSB,Conc in Social Studies (B) (SAC),2012 - 2012
RA001603,CONC,840B,Conc in Foods & Nutrition (Dietetics),2011 - 2011
RA001604,CONC,S S,Conc in Social Studies Non-El Ed (SAC),2009 - 2013
RA001605,DEGREE,494A_2,Communication Disorders (GC),2009 - 2011
RA001606,CONC,SDT,Conc in Sustain Design and Tech (SAC),2009 - 2011
RA001607,CONC,G C,Conc in Graphic Communication (SAC),2009 - 2011
RA001608,CONC,MDS,Conc in Media Studies (SAC),2012 - 2013
RA001609,MAJOR,251A,Major in Psychology (BA),2012 - 2012
RA001610,MAJOR,252*,Major in Psychology (BS),2012 - 2012
RA001611,CONC,252D,Conc in Business Psychology,2012 - 2012
RA001612,CONC,252E,Conc in Health Studies,2012 - 2012
RA001613,CONC,252F,Conc in Human Services,2012 - 2012
RA001614,CONC,252G,Conc in Social Science,2012 - 2012
RA001616,DEGREE,MA_237B_2,Master of Arts,2009 - 2017
RA001617,DEGREE,MA_267F_2,Master of Arts,2010 - 2017
RA001618,DEGREE,MA_427B_2,Master of Arts,2009 - 2018
RA001619,DEGREE,MA_496C_2,Master of Arts,2009 - 9999
RA001620,DEGREE,MA_548E_2,Master of Arts,2011 - 9999
RA001621,MAJOR,205A,Major in Biology (Eco Evo & Env),2011 - 2011
RA001622,CONC,H W,Conc in Health and Wellness (SAC),2012 - 2013
RA001623,MAJOR,800A,Major in Law (Pre-Professional),2009 - 2013
RA001624,DEGREE,800A_2,Law (Pre-Professional) (GC),2009 - 2013
RA001625,MAJOR,801A,Major in Theology (Pre-Professional),2009 - 2013
RA001626,DEGREE,801A_2,Theology (Pre-Professional) (GC),2009 - 2013
RA001627,MAJOR,802A,Major in Medicine (Pre-Professional),2009 - 2013
RA001628,DEGREE,802A_2,Medicine (Pre-Professional) (GC),2009 - 2013
RA001629,MAJOR,803A,Major in Dentistry (Pre-Professional),2009 - 2013
RA001630,DEGREE,803A_2,Dentistry (Pre-Professional) (GC),2009 - 2013
RA001631,MAJOR,804A,Major in Engineering (Pre-Professional),2009 - 2013
RA001632,DEGREE,804A_2,Engineering (Pre-Professional) (GC),2009 - 2013
RA001633,MAJOR,805A,Major in Medical Tech (Pre-Professional),2009 - 2013
RA001634,DEGREE,805A_2,Medical Tech (Pre-Professional) (GC),2009 - 2013
RA001635,MAJOR,806A,Major in Forest Resources (Pre-Professional),2009 - 2013
RA001636,DEGREE,806A_2,Forest Resources (Pre-Professional) (GC),2009 - 2013
RA001637,MAJOR,808A,Major in Pharmacy (Pre-Professional),2009 - 2013
RA001638,DEGREE,808A_2,Pharmacy (Pre-Professional) (GC),2009 - 2013
RA001639,MINOR,845,Minor in Health Care Management,2010 - 2011
RA001640,MINOR,845,Minor in Health Care Management,2012 - 2018
RA001641,MAJOR,118A,Major in Fermentation Sciences,2012 - 2013
RA001642,DEGREE,118A,Fermentation Sciences (GC),2012 - 2014
RA001643,DEGREE,BS_118A,Fermentation Sciences (BS),2012 - 2014
RA001644,MINOR,710,Minor in Apparel Design & Merchandising,2009 - 2014
RA001645,MINOR,611,Minor in Africana Studies,2011 - 2011
RA001646,MAJOR,272*,Major in Political Science (BS),2011 - 2011
RA001647,CONC,THR,Conc in Theatre Arts (SAC),2012 - 2012
RA001648,CONC,MAT,Conc in Mathematics (SAC),2012 - 2013
RA001649,CONC,CIS,Conc in Computer Info Systems (SAC),2012 - 2014
RA001650,CONC,G I,Conc in Global Issues (SAC),2012 - 2013
RA001651,CONC,L A,Conc in Language Arts (SAC),2012 - 2013
RA001652,CONC,MST,Conc in Math Science & Tech (SAC),2012 - 2012
RA001653,CONC,PSY,Conc in Psychology (SAC),2012 - 2014
RA001654,CONC,RTS,Conc in The Arts (SAC),2012 - 2012
RA001655,CONC,V A,Conc in Visual Arts (SAC),2012 - 2012
RA001656,MAJOR,585A,Major in Communication Studies,2012 - 2012
RA001657,CONC,272C,Conc in American Politics,2011 - 2011
RA001658,CONC,M S,Conc in Materials Science (SAC),2012 - 2014
RA001659,CONC,SDT,Conc in Sustain Design and Tech (SAC),2012 - 2014
RA001660,CONC,STEM,Conc in STEM (SAC),2012 - 2013
RA001664,CONC,G C,Conc in Graphic Communication (SAC),2012 - 2014
RA001665,CONC,D I,Conc in Diversity Studies (SAC),2012 - 2012
RA001667,DEGREE,214I,Chemistry Fermentation Sciences (GC),2009 - 2014
RA001668,DEGREE,BS_214I,Chemistry Fermentation Sciences (BS),2009 - 2014
RA001669,DEGREE,710A,Apparel Design & Merchandising (GC),2011 - 2014
RA001670,MINOR,352,Minor in Marketing,2011 - 2013
RA001671,CONC,284F,Conc in Family Development,2011 - 2011
RA001672,MINOR,407,Minor in Business Education,2012 - 2014
RA001673,DEGREE,BS_576B,Industrial Design Furniture Design (BS),2011 - 2014
RA001674,CONC,N S,Conc in Natural Science (SAC),2012 - 2013
RA001675,DEGREE,576B,Industrial Design Furniture Design (GC),2011 - 2014
RA001676,CONC,201C,Conc in Biological Anthropology,2010 - 2011
RA001677,CONC,201C,Conc in Biological Anthropology,2012 - 2013
RA001678,DEGREE,579A,Technical Photography (GC),2012 - 2012
RA001679,DEGREE,BS_579A,Technical Photography (BS),2012 - 2012
RA001680,DEGREE,579A,Technical Photography (GC),2011 - 2011
RA001681,MAJOR,201*,Major in Anthropology,2012 - 2013
RA001682,CONC,567B,Conc in Pre-Professional,2011 - 2011
RA001685,DEGREE,BS_565A_2,Athletic Training (BS),2012 - 2014
RA001686,DEGREE,BS_121A,Environmental Science (BS),2010 - 2011
RA001687,DEGREE,BS_121A,Environmental Science (BS),2012 - 2014
RA001688,DEGREE,121A,Environmental Science (GC),2010 - 2011
RA001689,DEGREE,121A,Environmental Science (GC),2012 - 2014
RA001690,CONC,840C,Conc in Foodsystems Management,2012 - 2013
RA001691,MAJOR,119A,Major in Geology,2009 - 2013
RA001692,DEGREE,119A,Geology (GC),2009 - 2014
RA001693,DEGREE,BA_119A,Geology (BA),2009 - 2014
RA001694,DEGREE,244A,Geology (GC),2009 - 2014
RA001695,MAJOR,511A,Major in Graphic Design,2013 - 2014
RA001696,MAJOR,513A,Major in Studio Art,2013 - 2013
RA001697,MAJOR,600A,Major in Appalachian Studies,2013 - 2013
RA001698,MAJOR,124A,Major in Biology (Cell/Molecular),2013 - 2013
RA001699,MAJOR,821A,Major in Speech-Language Pathology,2011 - 2011
RA001700,MAJOR,821A,Major in Speech-Language Pathology,2010 - 2010
RA001701,MAJOR,523A,Major in Art Management,2013 - 2014
RA001702,MINOR,504,Minor in Art,2013 - 2014
RA001703,CONC,504B,Conc in Art History,2013 - 2013
RA001704,CONC,504C,Conc in Studio Art,2013 - 2013
RA001705,CONC,504D,Conc in Interdisciplinary Art,2013 - 2013
RA001706,MAJOR,507A,Major in Communication (Advertising),2013 - 2013
RA001707,DEGREE,BS,Degree in Bachelor of Science,2013 - 2014
RA001708,MAJOR,517A,Major in Communication (Journalism),2013 - 2013
RA001709,MAJOR,525A,Major in Communication (ElecMedBrdcst),2013 - 2013
